name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
BMW,2014,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74,5,450000
Honda,2014,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5,370000
Toyota,2006,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78,5,158000
Ford,2010,127000,Diesel,Individual,Manual,First Owner,23,1396,90,5,225000
Honda,2007,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5,130000
BMW,2017,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,440000
Nissan,2007,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5,96000
Ford,2001,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37,4,45000
Ford,2011,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5,350000
Honda,2013,169000,Diesel,Individual,Manual,First Owner,20,1399,68.1,5,200000
Toyota,2014,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5,500000
Toyota,2005,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60,5,92000
Honda,2009,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,280000
Honda,2007,80000,Petrol,Individual,Manual,Second Owner,,,,,200000
Honda,2009,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67,5,180000
Honda,2016,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82,5,400000
BMW,2016,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7,778000
Toyota,2012,53000,Diesel,Individual,Manual,Second Owner,23,1396,90,5,500000
Nissan,2002,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,150000
Toyota,2016,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,680000
Toyota,2011,100000,Diesel,Individual,Manual,Second Owner,21,1461,64.1,5,174000
Toyota,2017,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5,950000
Nissan,2015,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5,525000
Nissan,2012,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5,600000
Ford,2018,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5,500000
Toyota,2016,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,575000
Toyota,2017,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,275000
BMW,2013,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7,300000
Ford,2009,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67,5,220000
BMW,2018,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,254999
Ford,2017,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,670000
BMW,2003,50000,Petrol,Individual,Manual,Second Owner,,,,,70000
Toyota,2012,35000,Petrol,Individual,Manual,Second Owner,14,796,35,5,150000
Nissan,2018,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,730000
Ford,2017,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,650000
BMW,2019,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4,330000
